Tier,Display Name,OpenRouter Model ID,Input $ / 1M Tokens,Output $ / 1M Tokens,Context Tokens,Recommended Roles,Notes
Fast,Grok 4.1 Fast,x-ai/grok-4.1-fast,0.2,0.5,2000000,"Thinker, Contrarian","Very fast, huge context"
Fast,Grok 4 Fast,x-ai/grok-4-fast,0.2,0.5,2000000,Thinker,Diversity option
Fast,DeepSeek V3.2 Exp,deepseek/deepseek-v3.2-exp,0.21,0.32,163840,Thinker,Experimental toggle
Balanced,DeepSeek V3.2,deepseek/deepseek-v3.2,0.25,0.38,163840,"Thinker, Critic",Best value reasoning
Balanced,GPT-5.1,openai/gpt-5.1,1.25,10.0,400000,"Thinker, Critic",Cost controlled OpenAI
Balanced,GPT-5.2,openai/gpt-5.2,1.75,14.0,400000,"Thinker, Critic",Flagship quality
Balanced,Gemini 3 Pro,google/gemini-3-pro-preview,2.0,12.0,1048576,"Thinker, Reviewer",Long-context strength
Deep,GPT-5.2 Chat,openai/gpt-5.2-chat,1.75,14.0,128000,"Critic, Reviewer",Strong evaluator
Executive,GPT-5.2 Pro,openai/gpt-5.2-pro,21.0,168.0,400000,Chair,Opt-in only
Critic,DeepSeek V3.1 Terminus,deepseek/deepseek-v3.1-terminus,0.21,0.79,163840,Critic,Sharp logic
Code,Grok Code Fast 1,x-ai/grok-code-fast-1,0.2,1.5,256000,"Thinker, Critic",Fast code reasoning
Code,GPT-5.1 Codex Max,openai/gpt-5.1-codex-max,1.25,10.0,400000,"Chair, Synthesizer",Deep refactors
